SSN	First Name	Last Name	House Number	Street Address	City	State	Zip	DOB-Day	DOB-Month	DOB-Year	Phone	Occupation	Salary	TruthFileRowNum
240-15-9664	Dustin	Lespedes	1403	Miller Avenue	Fort Wayne	IN	46825	1	4	1942	(704) 979-2821	Sales Manager	$86,225.00 	30
539-12-5874	Steven	Pabon	1162	Lakeview Avenue	Kent	WA	98032	27	1	1979	(253) 685-6546	Food Preparation and Serving Related Occupation	$16,356.00 	31
281-03-3068	ZGerald	Brown	2578	Franklin Blvd.	Aberdeen	OH	45101	28	9	1955	(937) 795-3256	Waiter	$16,055.00 	32
266-44-6921	Arthur	Carithers	2273	Lake Blvd.	Hollywood	FL	33025	19	6	1928	(754) 224-7052	Laborer and Freight, Stock, and Material Movers, Hand	$21,973.00 	33
625-10-3422	Paul	Olson	2265	Park Avenue	Howard	PA	16841	4	12	1952	(408) 998-5199	Food Preparation and Serving Related Occupation	$17,175.00 	34
591-20-3269	Willie	FRoberts	2898	Sunset Drive	Winter Park	FL	32789	16	7	1976	(321) 460-4155	Office Clerk, General	$23,523.00 	35
184-52-6653	Donnellan	Priscilla	675	Sixth Street	Hazen	PA	15825	12	12	1947	(814) 328-9555	Team Assembler	$23,552.00 	36
650-18-5670	KNorton	Lynda	2102	Valley Blvd.	Durango	CO	81301	25	6	1916	(970) 769-2682	Elementary School Teacher, Except Special Education	$45,227.00 	37
239-73-1363	Julianne	Moore	1788	Poplar Street	El Paso	TX	79934	3	4	1941	(919) 571-4123	Refuse and Recyclable Material Collector	$25,505.00 	38
051-20-3438	Frank	Wolfe	1171	Second Blvd.	Garden City	NY	11530	2	5	1958	(516) 369-9414	Tool and Die Maker	$44,010.00 	39
768-18-2640	Andrew	Davis	2917	View Dr	Saint Petersburg	FL	33710	10	4	1958	(863) 825-7465	Management Analyst	$66,669.00 	40
494-58-9090	Michelle	Quick	2703	Fifteenth Dr.	Scott City	MO	63780	8	2	1917	(573) 398-2661	Carpenter	$38,495.00 	41
260-41-7009	John	Robinette	1371	Cherry St	Woodstock	GA	30188	27	2	1989	(770) 872-1933	Switchboard Operator, Including Answering Service	$20,920.00 	42
528-24-0254	Terry	Wells	1735	Central Dr	Longview	WA	98632	2	6	1957	(360) 442-4360	Food Preparation and Serving Related Occupation	$16,970.00 	43
131-09-3108	Polly	Caudill	2690	Davis Ave	Warsaw	NY	14569	8	3	1993	(585) 786-7415	First-Line Supervisor/Manager of Non-Retail Sales Worker	$65,665.00 	44
233-03-5647	Stanley	Greene	2464	Cedar Avenue	Kermit	WV	25674	9	1	1937	(304) 393-6789	WPayroll and Timekeeping ClerkEJ	$31,168.00 	45
560-27-5888	Stiver	Mindy	1399	Elm Dr	Wilmington	CA	90744	27	1	1956	(310) 629-7063	Teller	$20,298.00 	46
063-40-6446	Ines	Garth	1482	River Ave.	Coatopa	AL	35470	4	3	1987	(607) 796-1042	RFirst-Line Supervisor/Manager of Construction Trades and Extraction WorkerTP	$49,136.00 	47
617-15-2024	Daniel	Jackson	1344	Church St., Apt. 23	Stockton	CA	95206	11	8	1905	(209) 473-1969	Packaging and Filling Machine Operators and Tender	$23,011.00 	48
368-01-2433	Mary	Collins	1627	Cherry Avenue	Tawas City	MI	48763	11	10	1905	(989) 867-8276	Customer Service Representative	$29,151.00 	49
097-62-7422	Steven	Pewitt	1425	Park Dr	Brooklyn	NY	11204	27	7	1912	(347) 424-4169	Receptionist and Information Clerk	$21,586.00 	50
270-18-7070	Brown	John	2811	Sycamore Ave., Apt. 4	Willowick	OH	44095	22	3	1917	(440) 272-5817	Waiter	$15,133.00 	51
377-34-7884	Daniel	WMichaels	1643	Lake Ave, Apt. 30	Hastings	MI	49058	12	5	1908	(269) 953-2996	Dining Room and Cafeteria Attendants and Bartender Helper	$16,036.00 	52
023-44-0099	Jill	Grabner	532	Lakeview Ave.	Montgomery	MA	1085	8	10	1992	(413) 813-2343	Stock Clerk and Order Filler	$21,915.00 	53
771-03-1643	Susan	Berry	1436	Franklin Ave.	North Montpelier	VT	5666	7	6	1922	(941) 219-8004	Meat, Poultry, and Fish Cutters and Trimmer	$18,015.00 	54
426-08-2679	Gerald	Kingsley	2446	River St	Natchez	MS	39120	14	1	1969	(601) 897-2124	Sales Representative, Wholesale and Manufacturing, Except Technical and Scientific Product	$52,062.00 	55
616-04-6449	XBarbara	Jackson	2566	Oak St	Long Beach	CA	90805	8	7	1920	(310) 934-7864	Billing and Posting Clerks and Machine Operator	$27,077.00 	56
622-82-4708	Francisco	Briscoe	681	Third St	Signal Hill	CA	90806	14	7	1995	(310) 932-7393	Food Preparation and Serving Related Occupation	$16,489.00 	57
633-54-7753	Antoinette	Gibbs	276	Thirteenth Ave.	Houston	TX	77072	1	10	1948	(281) 453-9165	Food Preparation and Serving Related Occupation	$17,940.00 	58
424-14-7755	Sheila	Heard	1497	Birch Avenue	Montgomery	AL	36107	21	5	1913	(334) 325-4062	Team Assembler	$25,941.00 	59
042-20-1242	Clayton	Hess	1590	Highland Avenue, Apt. 4	Wallingford	CT	6492	27	1	1904	(203) 949-2584	Coating, Painting, and Spraying Machine Setters, Operators, and Tender	$26,076.00 	60
192-26-7357	Kathleen	Steele	186	Seventh Blvd.	Summerhill	PA	15958	26	5	1947	(814) 495-8182	Cook, Institution and Cafeteria	$19,496.00 	61
076-20-1490	Linda	Collins	752	Spring Drive	Hicksville	NY	11801	8	3	1996	(516) 932-0939	Compensation, Benefits, and Job Analysis Specialist	$48,751.00 	62
258-56-5442	IJulia	Mitchell	502	Main Ave.	Lilburn	GA	30247	7	9	1978	(770) 927-4171	Truck Driver, Heavy and Tractor-Trailer	$35,587.00 	63
488-90-5460	Marlen	Felix	2872	WRDavis Dr.	Lake Lotawana	MO	64063	8	5	1993	(816) 578-0928	Home Health Aide	$18,546.00 	64
431-90-8203	Sherrill	Blaker	611	Seventh Dr.	Roswell	NM	88201	28	1	1948	(870) 873-1897	Fire Inspector and Investigator	$44,213.00 	65
566-18-5659	Norma	Poinelli	834	Williams St	Saint Louis	MO	63113	17	5	1950	(510) 326-3810	General and Operations Manager	$87,072.00 	66
620-58-2954	AJoan	Traylor	1767	Highland Ave	Bakersfield	CA	93308	22	11	1953	(661) 588-8820	Nursing Aide, Orderly, and Attendant	$20,456.00 	67
595-11-5107	Jesse	Mack	2979	Twelth Blvd.	Olympia Heights	FL	33175	23	1	1911	(305) 283-4324	Registered Nurse	$51,243.00 	68
402-36-5258	Katherine	Rivera	1390	Forest Avenue	Trinity	KY	41179	28	12	1987	(606) 288-1009	Food Preparation and Serving Related Occupation	$17,182.00 	69
467-66-5861	Christine	AThomas	2174	South Dr.	Plano	TX	75023	24	7	1918	(903) 415-4020	Nursing Aide, Orderly, and Attendant	$21,351.00 	70
561-18-8214	Joseph	Panzarella	2408	Washington Dr.	Louisville	KY	40210	7	5	1984	(209) 260-1037	XReal Estate Sales AgentKH	$40,873.00 	71
241-66-7387	Beverly	Pruitt	1050	Madison Ave.	Spring Valley	CA	91977	8	7	1991	(919) 729-7828	Office Clerk, General	$24,265.00 	72
470-16-4667	Rocky	Bergman	2354	Cherry Avenue	Okolona	KY	40229	15	9	1965	(507) 352-1244	JCashierFY	$16,037.00 	73
480-26-7444	Christopher	Stewart	489	Sunset Ave.	East Mc Keesport	PA	15035	7	10	1979	(319) 525-7351	Food Preparation and Serving Related Occupation	$16,821.00 	74
063-24-6446	Ann	Mcdougald	2526	Smith Ave	Corning	NY	14830	7	12	1987	(607) 542-0048	Extruding and Drawing Machine Setter, Operator, and Tender, Metal and Plastic	$26,662.00 	75
575-24-4233	Barbara	Downs	2563	Williams Ave.	Honolulu	HI	96817	17	9	1951	(520) 421-5115	Computer Software Engineer, Systems Software	$75,334.00 	76
175-10-8583	Juan	Fingleton	1505	Lakeview Blvd.	Carl Fisher	FL	33139	17	3	1940	(215) 585-4650	Food Preparation and Serving Related Occupation	$18,023.00 	77
224-82-7003	Willie	AShemwell	632	Hill Dr	Annandale	VA	22003	22	7	1975	(703) 542-5542	Medical Transcriptionist	$27,876.00 	78
558-10-1770	Collins	Kimberly	493	Hickory Street	Bell	FL	32619	23	9	1921	(408) 414-8792	Helpers--Installation, Maintenance, and Repair Worker	$22,949.00 	79
331-76-7552	Rudy	QFish	100	Oak Ave	Palos Hills	IL	60465	17	2	1994	(708) 274-8045	Heating, Air Conditioning, and Refrigeration Mechanic and Installer	$34,998.00 	80
652-22-8396	Charles	Whitton	2097	West Dr	Olathe	CO	81425	18	10	1995	(970) 323-5186	First-Line Supervisor/Manager of Construction Trades and Extraction Worker	$51,202.00 	81
622-15-4716	Niles	Jose	1989	View Dr.	San Jose	CA	95112	8	15	1958	(408) 261-3934	Telemarketer	$22,228.00 	82
681-01-7026	Raymond	Bailey	2680	Birch Ave	Wilmington	NC	28412	19	3	1973	(910) 251-4798	Executive Secretary and Administrative Assistant	$33,510.00 	83
408-90-4362	FTimothy	Wilson	741	Sycamore Avenue	Tazewell	TN	37879	12	8	1957	(865) 238-8174	Architect, Except Landscape and Naval	$61,098.00 	84
172-64-6731	CMartin	Brooker	2323	Green St.	Bernville	PA	19506	21	6	1927	(610) 488-4076	Industrial Machinery Mechanic	$38,977.00 	85
650-30-5652	Debra	Wick	450	Maple St	Colorado Springs	CO	80906	3	6	1994	(719) 349-5760	Extruding and Drawing Machine Setter, Operator, and Tender, Metal and Plastic	$27,863.00 	86
323-20-0478	William	Brinius	163	PSMain Dr.	Tucson	AZ	85714	29	7	1974	(815) 890-3349	Gaming Cage Worker	$22,967.00 	87
457-22-6425	Sherry	Flores	908	Seventh Dr.	Austin	TX	78722	14	12	1941	(512) 996-5708	Licensed Practical and Licensed Vocational Nurse	$32,916.00 	88
208-07-6832	Cook	Frances	1902	Spruce Dr	Minersville	PA	17954	3	4	1907	(570) 399-4746	Nursing Aide, Orderly, and Attendant	$20,455.00 	89
214-82-0044	Fort	Robert	451	Fifth Dr.	Baltimore	MD	21216	15	10	1974	(410) 377-0926	First-Line Supervisor/Manager of Construction Trades and Extraction Worker	$49,929.00 	90
551-56-9631	Teri	Bolin	472	Fourth Ave	San Jose	CA	95119	26	4	1949	(408) 980-3221	Cement Mason and Concrete Finisher	$32,505.00 	91
167-64-5182	Schmidt	David	507	Fourth Dr	Mill Hall	PA	17751	19	2	1930	(570) 755-9840	Cashier	$17,115.00 	92
630-03-7784	Jamie	Simpson	826	VBLake St	San Antonio	TX	78218	1	1	1987	(210) 321-3105	First-Line Supervisor/Manager of Office and Administrative Support Worker	$42,134.00 	93
456-75-4573	Robin	Curry	2562	DOHill Ave	Houston	TX	77039	16	4	1959	(281) 899-6777	Retail Salesperson	$22,139.00 	94
269-76-5662	Boyd	RAlbert	2583	Forest Dr	Middlefield	OH	44062	19	12	1984	(440) 632-7422	Food Preparation and Serving Related Occupation	$18,010.00 	95
576-86-5358	Marjorie	Emerson	1324	Second Blvd.	Haleiwa	HI	96712	3	1	1928	(808) 274-6307	Data Entry Keyer	$22,403.00 	96
148-44-5431	Teresa	Jackson	1651	Hill Blvd.	Montclair	NJ	7042	13	11	1991	(973) 239-2361	Correctional Officers and Jailer	$35,193.00 	97
650-05-5673	Hugh	Shah	1656	Thirteenth Avenue, Apt. 13	Denver	CO	80236	7	4	1980	(303) 261-5533	Special Education Teacher, Preschool, Kindergarten, and Elementary School	$46,776.00 	98
254-57-7639	Danielle	Gans	1488	Lake St., Apt. 24	Marietta	GA	30067	14	5	1979	(678) 345-8039	General and Operations Manager	$83,653.00 	99
307-56-2498	Craig	Pardi	1115	First Blvd.	Gary	IN	46402	24	1	1949	(219) 743-0109	Bartender	$17,107.00 	100
099-46-8883	Tanisha	Greve	1059	Cedar St	New Hamburg	NY	12590	14	1	1946	(845) 895-6420	Bookkeeping, Accounting, and Auditing Clerk	$28,706.00 	101
681-01-6615	Weingart	Albert	1930	OFWest St	Holt	AL	35404	7	11	1906	(919) 375-9881	Computer Software Engineer, Application	$76,076.00 	102
286-54-2711	CTracy	Maldonado	2071	Cedar Drive	Lincoln Village	OH	43228	26	7	1915	(614) 342-5028	Construction Laborer	$29,249.00 	103
637-72-8640	Mary	Leclerc	2356	Spruce St.	Highland Village	TX	75067	17	5	1979	(940) 270-0197	Engineering Manager	$92,866.00 	104
456-14-2519	Donnie	Gomez	479	Ninth Ave.	Harker Heights	TX	76542	1	27	1959	(254) 285-5285	Executive Secretary and Administrative Assistant	$36,137.00 	105
682-01-7477	Robert	Haber	2487	Lake Street	Shelby	NC	28152	16	4	1999	(704) 472-3751	Hotel, Motel, and Resort Desk Clerk	$18,225.00 	106
237-66-7629	Sergio	Howell	682	Oak St.	Columbus	NC	28722	7	4	1982	(828) 894-3633	First-Line Supervisor/Manager of Office and Administrative Support Worker	$40,318.00 	107
541-20-0900	John	Vallien	2541	Fifteenth St	Portland	OR	97214	11	21	1927	(503) 803-2878	Computer Programmer	$61,815.00 	108
388-88-4875	James	Perez	721	Eleventh Dr.	Milwaukee	WI	53204	14	9	1997	(414) 347-0650	BFood Preparation and Serving Related OccupationKN	$17,384.00 	109
171-62-0896	Kenneth	Sturges	268	Forest Ave	Cleona	PA	17042	16	1	1929	(717) 447-7506	Cashier	$16,062.00 	110
351-90-4387	KSusan	Wilson	1831	Ridge Avenue	Chicago	IL	60641	16	2	1971	(708) 303-3684	Waiter	$15,965.00 	111
182-26-7283	Mark	Nixson	1384	College Blvd.	West York	PA	17404	14	7	1958	(717) 840-0491	Cashier	$17,095.00 	112
512-40-6361	Maldenado	Daniel	379	Main Street	West Swanzey	NH	3469	9	4	1922	(620) 564-7989	ICrossing GuardZC	$20,721.00 	113
442-42-0012	Heath	Arredondo	1897	Hickory Ave.	Midwest City	OK	73110	26	2	1928	(405) 808-1026	Laborer and Freight, Stock, and Material Movers, Hand	$22,111.00 	114
221-34-9000	Cameron	CCampos	1927	Hill Avenue, Apt. 9	Tulsa	OK	74110	5	9	1999	(302) 709-0758	Psychology Teacher, Postsecondary	$60,091.00 	115
389-86-7172	Dorothy	Hatfield	146	Third St	Hurley	WI	54534	8	12	1939	(715) 208-4786	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$19,898.00 	116
764-28-3358	XDanielle	HJohnson	2071	Jackson Ave.	Glendale Heights	IL	60139	9	3	1956	(928) 333-9260	Bus Driver, School	$22,057.00 	117
367-10-0347	Mary	Beaulieu	202	Sunset St	Dearborn	MI	48124	3	10	1980	(734) 562-4517	Office Clerk, General	$22,498.00 	118
545-02-1752	Patricia	Dudley	1262	Valley Ave	Roseville	CA	95678	24	9	1952	(916) 771-9809	YJanitor and Cleaner, Except Maids and Housekeeping CleanerAV	$21,026.00 	119
033-44-8380	James	Coulter	1757	ZOSixth St	Longmeadow	MA	1106	21	12	1929	(413) 798-2512	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$20,397.00 	120
156-64-6034	WEdward	UPhillips	1621	Oak Drive	Clifton	NJ	7011	29	3	1934	(732) 541-8753	Civil Engineering Technician	$39,323.00 	121
284-56-9229	Juana	Gardner	1501	Third Street	East Cleveland	OH	44112	13	10	1909	(440) 549-3190	Billing and Posting Clerks and Machine Operator	$27,233.00 	122
431-02-8211	Skye	Moore	1580	Mill Avenue	Fayetteville	AR	72701	10	27	1980	(479) 260-3573	Counter and Rental Clerk	$19,273.00 	123
420-04-3541	Raymond	Tapp	2290	Railroad St	Hazel Green	AL	35750	17	7	1999	(256) 829-9294	Billing and Posting Clerks and Machine Operator	$26,339.00 	124
548-22-2533	Amy	Trasher	2256	Sycamore Street, Apt. 15	Seattle	WA	98109	24	12	1975	(213) 215-8132	Industrial Engineering Technician	$45,985.00 	125
462-06-5840	David	Crandall	634	Franklin Avenue	San Antonio	TX	78227	18	7	1906	(210) 720-4006	Construction Laborer	$28,985.00 	126
621-54-1703	Knipp	John	2121	Twelth Ave., Apt. 14	Laytonville	CA	95454	7	2	1923	(707) 414-7788	First-Line Supervisor/Manager of Non-Retail Sales Worker	$66,221.00 	127
680-03-0508	Cristina	Krause	2988	First Blvd., Apt. 12	Windsor	NC	27983	28	2	1961	(252) 325-4434	Roofer	$31,823.00 	128
372-94-5728	Maryann	UGarcia	1551	Meadow Street	Dallas	TX	75235	5	3	1942	(517) 936-4603	SDemonstrator and Product PromoterCL	$25,437.00 	129
364-28-4185	Velasquez	Jacqueline	1724	Spruce Blvd.	Farmington Hills	MI	48336	18	8	1934	(248) 957-6388	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$21,050.00 	130
488-07-5472	Carol	Longwell	2614	Cherry Street	Monett	MO	65708	3	18	1986	(417) 235-5926	Cutting, Punching, and Press Machine Setter, Operator, and Tender, Metal and Plastic	$25,916.00 	131
448-58-2956	Stubblefield	Scott	2044	Spring St.	Shawnee	OK	74801	4	12	1958	(405) 878-0912	Cashier	$17,053.00 	132
672-10-3326	Cajigas	Marcia	2307	Sunset St	Atlanta	GA	30349	19	4	1920	(404) 348-8321	Executive Secretary and Administrative Assistant	$36,420.00 	133
138-12-0138	Floyd	Farquhar	518	AREighth Blvd.	Passaic	NJ	7055	4	5	1948	(201) 757-7176	Management Analyst	$67,706.00 	134
148-03-5427	Laticia	Heath	2940	Seventh Drive	Ellinwood	KS	67526	8	6	1989	(201) 267-8348	ISecondary School Teacher, Except Special and Vocational EducationVV	$45,173.00 	135
478-50-6850	Joan	Roca	2777	Elm Blvd.	Sperry	IA	52650	6	7	1921	(319) 796-6357	Licensed Practical and Licensed Vocational Nurse	$33,592.00 	136
452-59-1728	Ruthe	HMilland	950	Hill St.	Tiplersville	MS	38674	2	4	1968	(682) 286-8459	Office Clerk, General	$24,691.00 	137
688-03-2837	Helen	Martin	2270	JQThird Avenue	Salisbury	NC	28144	9	17	1969	(704) 637-3101	Team Assembler	$25,405.00 	138
363-40-2967	Robert	BOneill	808	West Drive	Southfield	MI	48034	27	9	1913	(248) 483-4430	Medical Assistant	$25,118.00 	139
289-02-8548	Jeffery	Brewer	1439	Hill Ave	Dayton	OH	45418	16	5	1983	(937) 903-9241	Food Preparation and Serving Related Occupation	$16,929.00 	140
010-44-3163	Robert	Vigue	2676	Park Dr.	Ludlow	MA	1056	15	4	1958	(413) 547-0662	Office Clerk, General	$23,636.00 	141
277-03-0233	Kenneth	Valdez	1065	Cherry Dr, Apt. 9	Conneaut	OH	44030	9	2	1966	(440) 599-6262	Secretary, Except Legal, Medical, and Executive	$25,105.00 	142
766-20-6560	Margaret	Anderson	918	QUPark Dr	Quail Heights	FL	33177	5	19	1928	(305) 234-3304	Office Clerk, General	$22,367.00 	143
520-56-0776	Cherlyn	Whisenant	2419	Center Avenue	Lansing	MI	48915	16	11	1929	(307) 421-9656	Interpreter and Translator	$34,143.00 	144
542-13-3523	Johnson	Janene	2966	Eleventh Dr	Lawrence	KS	66046	24	4	1914	(503) 857-5885	Helper--Pipelayer, Plumber, Pipefitter, and Steamfitter	$23,210.00 	145
452-85-1730	Linda	Jones	2441	Third Drive	Oakwood	TX	75855	30	7	1945	(903) 545-9909	KDental AssistantGI	$27,705.00 	146
171-26-0903	Randall	Heger	852	Third Blvd.	Squirrel Hill	PA	15217	29	11	1914	(412) 282-7586	Cook, Restaurant	$19,000.00 	147
532-74-4111	Joseph	Calaway	833	Jackson Blvd.	Mosinee	WI	54455	7	4	1951	(509) 790-9040	Electrician	$45,885.00 	148
427-57-7847	Gary	Dejean	1244	LUSunset Avenue	Las Vegas	NV	89119	24	11	1909	(601) 436-0075	Purchasing Agent, Except Wholesale, Retail, and Farm Product	$48,943.00 	149
461-84-0098	Peter	Coleman	908	Lake St	Marshall	TX	75670	10	4	1962	(903) 998-1606	Nursing Aide, Orderly, and Attendant	$19,779.00 	150
531-28-8246	Ginger	Phillips	422	Second Drive	Pullman	WA	99163	5	9	1976	(509) 332-7863	Medical and Clinical Laboratory Technologist	$43,757.00 	151
275-58-1890	Alan	OAllen	595	Second Street	Warren	OH	44483	22	2	1989	(330) 261-2090	Nursing Aide, Orderly, and Attendant	$20,350.00 	152
403-52-5878	Sara	Osting	1031	Fourteenth Ave	Big Bend	WI	53103	7	10	1973	(270) 817-4761	First-Line Supervisor/Manager of Mechanics, Installers, and Repairer	$48,800.00 	153
033-01-8376	Robert	Alcantara	2594	Chestnut Ave, Apt. 39	Taunton	MA	2780	3	2	1942	(508) 301-3980	Registered Nurse	$51,708.00 	154
272-76-4018	Marjorie	Madden	1742	YHMaple Ave	College Hill	OH	45224	12	7	1934	(419) 927-2538	Drywall and Ceiling Tile Installer	$37,149.00 	155
109-01-1696	Jon	Knobloch	260	Second Dr	Riverhead	NY	11901	21	3	1978	(631) 722-3696	General and Operations Manager	$83,797.00 	156
087-28-8782	Sharon	EDoan	2391	View Avenue	Marlboro	NY	12542	19	12	1923	(845) 236-0276	Correctional Officers and Jailer	$35,112.00 	157
217-55-1586	Annie	VCornelia	2919	Highland Ave, Apt. 18	Rock Hall	MD	21661	3	3	1995	(410) 639-6409	Customer Service Representative	$28,464.00 	158
485-64-3416	Thomas	Mitchell	1047	Third Blvd.	Guttenberg	IA	52052	16	5	1946	(563) 255-5691	Insurance Sales Agent	$51,625.00 	159
637-72-8613	Kelly	Duncan	393	Thirteenth Ave.	Amarillo	TX	79103	3	5	1951	(806) 679-6566	Dishwasher	$15,928.00 	160
595-07-5113	Lewis	Sears	1494	Chestnut Avenue	Ridge Manor West	FL	34602	12	7	1958	(352) 585-0210	ITeam AssemblerKO	$24,922.00 	161
248-18-6510	Jacqueline	SBryan	2525	WDJohnson St.	Kershaw	SC	29067	11	3	1966	(803) 475-8788	Construction Laborer	$28,596.00 	162
663-01-0816	Martha	Smith	412	Church Dr.	Vidalia	LA	71373	6	22	1958	(318) 314-1059	Child Care Worker	$17,305.00 	163
071-76-0721	Henry	Maher	2450	Fifth Dr.	Troy	NY	12180	11	8	1996	(518) 287-7678	Food Preparation and Serving Related Occupation	$17,209.00 	164
416-01-3545	Brian	Brown	270	Fifth St	Albertville	AL	35950	16	10	1915	(256) 264-2050	KSecondary School Teacher, Except Special and Vocational EducationQN	$47,786.00 	165
463-32-4671	Joy	Finely	219	Ridge Avenue	San Diego	CA	92120	3	17	1955	(972) 914-6746	Retail Salesperson	$21,553.00 	166
764-10-3399	Wendy	Worthy	2028	Forest Ave.	Tucson	AZ	85705	6	12	1949	(520) 488-6794	Home Health Aide	$19,630.00 	167
526-20-9381	Michael	Card	2370	Highland Dr.	Phoenix	AZ	85032	11	8	1993	(520) 796-8454	Stock Clerk and Order Filler	$20,651.00 	168
423-26-3422	Thomas	Archer	2858	Walnut Street	Letohatchee	AL	36047	26	2	1953	(334) 367-3679	Brickmason and Blockmason	$40,524.00 	169
133-60-6569	Randall	Murray	165	UFFifth Drive	Bronx	NY	10462	17	1	1906	(347) 282-8482	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$20,829.00 	170
468-04-2576	Margaret	Stepanek	1450	Elm Ave	Redlake	MN	56671	5	3	1950	(507) 421-8473	Slaughterer and Meat Packer	$19,510.00 	171
